Price,Close,High,Low,Open,Volume,MA50,MA200,Daily Return,Prediction
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,,,,
Date,,,,,,,,,
2022-01-03,1093.7806396484375,1095.6462506930534,1075.4437086416906,1076.1034905748938,5421611,,,,1161.304443359375
2022-01-04,1118.465087890625,1119.7846517979926,1093.848914455948,1099.2636517956478,10847728,,,0.02256800618643373,1147.44921875
2022-01-05,1123.6976318359375,1127.0647821675334,1107.021469888781,1120.2396140596422,11643813,,,0.0046783256821907315,1147.3582763671875
2022-01-06,1099.5364990234375,1116.5994791465537,1096.1238548571225,1115.3254092772324,14447422,,,-0.021501453885797273,1127.26953125
2022-01-07,1108.4091796875,1118.4421482661342,1097.284116906681,1106.11137689842,13112115,,,0.008069473520836201,1127.4515380859375
2022-01-10,1109.3193359375,1117.9646215781718,1099.3318598320666,1115.6895654128748,9246731,,,0.0008211374162894192,1081.9730224609375
2022-01-11,1117.3048095703125,1126.1319502273575,1107.9542483452858,1108.409307707792,16205164,,,0.0071985346095710945,1079.8572998046875
2022-01-12,1147.130859375,1148.8827357783716,1121.604686652831,1124.471284081761,14800442,,,0.026694640127932434,1063.863525390625
2022-01-13,1153.592041015625,1156.1856749337926,1141.3522552982324,1147.19918473575,11856712,,,0.005632471298126607,1062.8397216796875
2022-01-14,1155.2755126953125,1168.1523329319614,1149.2921017722908,1153.455515914101,19930176,,,0.0014593301789820323,1085.9317626953125
2022-01-17,1161.304443359375,1167.105878804206,1154.3655399895374,1154.8205993720844,8036453,,,0.005218608546455394,1082.337158203125
2022-01-18,1147.44921875,1165.8998821993202,1144.696356607209,1162.4418646639435,6215029,,,-0.011930742785496551,1084.5438232421875
2022-01-19,1147.3582763671875,1156.6404758295853,1141.6250823732196,1151.1803655784236,9755485,,,-7.925612857317965e-05,1070.529541015625
2022-01-20,1127.26953125,1142.0574560089742,1117.054465620327,1137.5528377304774,16494486,,,-0.017508694128910873,1060.76953125
2022-01-21,1127.4515380859375,1138.5538554378697,1115.6895591579548,1115.6895591579548,13338594,,,0.00016145813480439308,1054.3084716796875
2022-01-24,1081.9730224609375,1139.6912967231897,1071.598729229798,1126.1545759538076,21868937,,,-0.04033744607968548,1072.031005859375
2022-01-25,1079.8572998046875,1086.8644436444313,1048.802657948011,1069.0734401117095,24510205,,,-0.001955430137655201,1084.5211181640625
2022-01-27,1063.863525390625,1072.0537511885557,1051.5554999211186,1062.9080331478985,20020431,,,-0.014811007358986439,1083.406494140625
2022-01-28,1062.8397216796875,1081.0629157010064,1059.4499449788068,1076.103358864866,14667727,,,-0.0009623449686007035,1081.29052734375
2022-01-31,1085.9317626953125,1094.9409997464795,1072.0993294430996,1073.91944662709,12143683,,,0.021726738796637113,1064.068359375
2022-02-01,1082.337158203125,1101.402112704543,1067.9587979070466,1095.6690383601324,13200509,,,-0.0033101568769529077,1100.1964111328125
2022-02-02,1084.5438232421875,1095.2138271372608,1080.6989871423398,1095.2138271372608,10017691,,,0.002038796342099136,1097.92138671875
2022-02-03,1070.529541015625,1092.6886822523618,1068.0042683536662,1088.3887863228124,9572839,,,-0.012921821992095794,1111.82177734375
2022-02-04,1060.76953125,1068.5730594354839,1056.1284310635565,1065.183161923649,11061241,,,-0.009116992471189134,1103.1312255859375
2022-02-07,1054.3084716796875,1072.372440138568,1048.802746440698,1065.6382591326399,10714467,,,-0.00609091737646239,1091.9833984375
2022-02-08,1072.031005859375,1073.8283759531457,1051.0776952115107,1060.4737500675897,12060849,,,0.016809628923357245,1087.0238037109375
2022-02-09,1084.5211181640625,1086.204633140618,1072.918368570495,1078.901658786714,11486225,,,0.011650887181826386,1080.2213134765625
2022-02-10,1083.406494140625,1090.0723137940836,1076.1490130370194,1090.0723137940836,12464491,,,-0.001027756864084295,1026.3934326171875
2022-02-11,1081.29052734375,1084.9761347999724,1066.593591416207,1079.857228868873,15943370,,,-0.0019530682235326946,1039.224853515625
2022-02-14,1064.068359375,1071.5305623649283,1052.4427424947037,1064.8418760134352,10719633,,,-0.015927419627967287,1073.62353515625
2022-02-15,1100.1964111328125,1102.9037798370225,1062.7716573911962,1069.824295697398,11212671,,,0.033952754481895386,1091.3690185546875
2022-02-16,1097.92138671875,1107.0443589837334,1090.186219274119,1105.6793011160346,10392840,,,-0.002067834789353684,1082.155029296875
2022-02-17,1111.82177734375,1117.0089242641513,1096.5789142269996,1101.1745201113265,12853252,,,0.012660642914100295,1058.1531982421875
2022-02-18,1103.1312255859375,1117.6915612787002,1101.1973736454247,1112.2314504381943,6775458,,,-0.007816497153505186,1019.022216796875
2022-02-21,1091.9833984375,1109.091873871227,1085.021748188729,1097.4890031023695,11107193,,,-0.010105621969422773,1017.1793212890625
2022-02-22,1087.0238037109375,1090.1634849848142,1067.9815952626598,1070.5978559109342,13494914,,,-0.004541822461457845,1071.143798828125
2022-02-23,1080.2213134765625,1095.0092390254035,1077.468571284383,1092.5294602510214,7310110,,,-0.006257903655055519,1088.50244140625
2022-02-24,1026.3934326171875,1064.6828130643278,1020.7740927277775,1048.8027920240986,24846650,,,-0.04983041918154385,1091.64208984375
2022-02-25,1039.224853515625,1050.1450756675365,1035.7212210618118,1037.4729771115954,14570089,,,0.012501464341718282,1100.605712890625
2022-02-28,1073.62353515625,1077.1726610969984,1020.5919703644313,1020.5919703644313,21297446,,,0.033100326194332785,1075.398193359375
2022-03-02,1091.3690185546875,1092.4838597770897,1059.8139450476658,1062.2027357830907,21471786,,,0.016528590159729406,1093.55322265625
2022-03-03,1082.155029296875,1098.7856965324477,1078.4011810031334,1092.0287696037128,10186748,,,-0.008442597417704478,1129.203369140625
2022-03-04,1058.1531982421875,1075.7848524224223,1055.787154408625,1070.643199306108,10805667,,,-0.02217966040437158,1122.6966552734375
2022-03-07,1019.022216796875,1052.0333374144284,1011.0367133096933,1036.8358471079189,17983310,,,-0.036980450005081655,1151.7037353515625
2022-03-08,1017.1793212890625,1021.9570232050447,991.92617525868,1006.2590402981642,21289374,,,-0.0018084939439351189,1155.3665771484375
2022-03-09,1071.143798828125,1077.01347494328,1016.565078233395,1017.406956117863,20414228,,,0.053053061942582413,1173.3167724609375
2022-03-10,1088.50244140625,1094.3038764083778,1073.8283721325647,1092.028820377732,17980493,,,0.0162057070181576,1181.14306640625
2022-03-11,1091.64208984375,1097.0340801861346,1081.1313132856126,1081.1313132856126,12257423,,,0.0028843742724580235,1193.018798828125
2022-03-14,1100.605712890625,1103.1311056498985,1080.1984500463022,1086.06812572994,8340678,,,0.008211137267671642,1193.2918701171875
2022-03-15,1075.398193359375,1104.7464533796308,1065.1148867530296,1104.7464533796308,15925769,1091.1265625,,-0.022903315180006767,1216.2244873046875
2022-03-16,1093.55322265625,1095.6235563592827,1081.6091471404573,1083.8387095081287,11149828,1091.1220141601561,,0.01688214598925586,1198.8428955078125
2022-03-17,1129.203369140625,1136.3469946247096,1098.8994972340938,1106.9304944761457,21422098,1091.3367797851563,,0.0326002847833784,1208.443603515625
2022-03-21,1122.6966552734375,1130.249846191458,1109.7743416930666,1112.0493977484434,11999466,1091.3167602539063,,-0.0057622161295350915,1212.015625
2022-03-22,1151.7037353515625,1153.4327442921551,1116.417558596963,1119.3750232146147,22557065,1092.3601049804688,,0.025836970246482238,1194.88427734375
2022-03-23,1155.3665771484375,1167.0376894069477,1147.9954813767026,1147.9954813767026,15462187,1093.2992529296876,,0.0031803680794322275,1191.6993408203125
2022-03-24,1173.3167724609375,1175.8194185614975,1142.0802732954487,1142.0802732954487,13168266,1094.5792016601563,,0.015536363668060105,1170.6776123046875
2022-03-25,1181.14306640625,1190.3115323247282,1172.5660212405173,1175.0686673806458,14222488,1095.855966796875,,0.0066702310313841995,1190.15234375
2022-03-28,1193.018798828125,1196.5678044575318,1176.8885634283017,1187.5813149251485,9891424,1096.7737255859374,,0.010054440278778554,1187.672607421875
2022-03-29,1193.2918701171875,1200.321761515582,1186.3984604316122,1200.321761515582,8684065,1097.5677221679687,,0.00022889101942968892,1165.3084716796875
2022-03-30,1216.2244873046875,1223.0724028520565,1190.8120505919683,1201.1863453712592,15811550,1098.7867016601563,,0.019217944713934898,1161.0313720703125
2022-03-31,1198.8428955078125,1214.7456618708436,1196.0446595036312,1212.584340487485,13223718,1099.537470703125,,-0.01429143384162157,1157.4822998046875
2022-04-01,1208.443603515625,1212.6752582349072,1193.0415116671982,1199.4116203413212,7922880,1100.7573583984374,,0.00800831205138497,1201.595703125
2022-04-04,1212.015625,1217.1572786813153,1201.9826544660282,1208.2617761125623,7929162,1102.0505053710938,,0.00295588596272367,1236.9273681640625
2022-04-05,1194.88427734375,1214.8366019261355,1192.4499926471442,1206.2823045318924,13149870,1103.4028002929688,,-0.014134593071974622,1265.888916015625
2022-04-06,1191.6993408203125,1198.72923220727,1177.1617516980632,1177.1617516980632,12257215,1104.6877563476562,,-0.002665476970303504,1255.2872314453125
2022-04-07,1170.6776123046875,1185.7612463786218,1168.0157378896517,1180.8015690820077,15496499,1106.4618481445314,,-0.017640127669412475,1226.257568359375
2022-04-08,1190.15234375,1194.40674604813,1164.8308932448695,1164.8308932448695,15152495,1108.6677490234374,,0.016635435102387408,1262.9541015625
2022-04-11,1187.672607421875,1200.5721761413577,1175.2962186354357,1183.031386405553,9254209,1111.1439306640625,,-0.0020835453050587205,1264.1827392578125
2022-04-12,1165.3084716796875,1184.2141946105721,1162.7375850997262,1177.1159431844708,13217742,1113.1933056640626,,-0.018830219373952017,1283.065673828125
2022-04-13,1161.0313720703125,1179.664132404293,1158.2330158892628,1171.4284128604863,10354235,1114.6952978515626,,-0.0036703582899469955,1269.5972900390625
2022-04-18,1157.4822998046875,1164.7397805103374,1147.4493300930017,1152.545489452205,9974224,1116.1982006835938,,-0.0030568271891709964,1265.13818359375
2022-04-19,1201.595703125,1213.972089786732,1160.7584292751112,1163.920736701103,26141820,1118.53923828125,,0.03811151438579774,1225.64306640625
